,modelname,algorithm,depvar,data_train,queryset,preprocessing,predictions_file_calib,predictions_file_test,predictions_file_future
0,fat_baseline_rf,"XGBRFRegressor(base_score=None, booster=None, colsample_bylevel=None,
               colsample_bytree=None, enable_categorical=False, gamma=None,
               gpu_id=None, importance_type=None, interaction_constraints=None,
               max_delta_step=None, max_depth=None, min_child_weight=None,
               missing=nan, monotone_constraints=None, n_estimators=300,
               n_jobs=12, num_parallel_tree=None, objective='reg:squarederror',
               predictor=None, random_state=None, reg_alpha=None,
               scale_pos_weight=None, tree_method=None,
               validate_parameters=None, verbosity=None)",ln_ged_sb_dep,baseline,hh_fatalities_ged_ln_ultrashort,float_it,,,
1,fat_conflicthistory_srf,"RandomForestRegressor(n_estimators=200, n_jobs=12)",ln_ged_sb_dep,conflict_ln,fat_cm_conflict_history,float_it,,,
2,fat_conflicthistory_rf,"XGBRFRegressor(base_score=None, booster=None, colsample_bylevel=None,
               colsample_bytree=None, enable_categorical=False, gamma=None,
               gpu_id=None, importance_type=None, interaction_constraints=None,
               max_delta_step=None, max_depth=None, min_child_weight=None,
               missing=nan, monotone_constraints=None, n_estimators=300,
               n_jobs=12, num_parallel_tree=None, objective='reg:squarederror',
               predictor=None, random_state=None, reg_alpha=None,
               scale_pos_weight=None, tree_method=None,
               validate_parameters=None, verbosity=None)",ln_ged_sb_dep,conflict_ln,fat_cm_conflict_history,float_it,,,
3,fat_conflicthistory_gbm,GradientBoostingRegressor(),ln_ged_sb_dep,conflict_ln,fat_cm_conflict_history,float_it,,,
4,fat_conflicthistory_hurdle_rf,"HurdleRegression(clf_name='RFClassifier', reg_name='RFRegressor')",ln_ged_sb_dep,conflict_ln,fat_cm_conflict_history,float_it,,,
5,fat_conflicthistory_hurdle_xgb,"HurdleRegression(clf_name='XGBClassifier', reg_name='XGBRegressor')",ln_ged_sb_dep,conflict_ln,fat_cm_conflict_history,float_it,,,
6,fat_conflicthistory_hurdle_lgb,"HurdleRegression(clf_name='LGBMClassifier', reg_name='LGBMRegressor')",ln_ged_sb_dep,conflict_ln,fat_cm_conflict_history,float_it,,,
7,fat_conflicthistory_histgbm,HistGradientBoostingRegressor(max_iter=200),ln_ged_sb_dep,conflict_ln,fat_cm_conflict_history,float_it,,,
8,fat_conflicthistory_xgb,"XGBRegressor(base_score=None, booster=None, colsample_bylevel=None,
             colsample_bynode=None, colsample_bytree=None,
             enable_categorical=False, gamma=None, gpu_id=None,
             importance_type=None, interaction_constraints=None,
             learning_rate=0.05, max_delta_step=None, max_depth=None,
             min_child_weight=None, missing=nan, monotone_constraints=None,
             n_estimators=100, n_jobs=12, num_parallel_tree=None,
             predictor=None, random_state=None, reg_alpha=None, reg_lambda=None,
             scale_pos_weight=None, subsample=None, tree_method=None,
             validate_parameters=None, verbosity=None)",ln_ged_sb_dep,conflict_ln,fat_cm_conflict_history,float_it,,,
9,fat_conflicthistory_lgb,LGBMRegressor(num_threads=8),ln_ged_sb_dep,conflict_ln,fat_cm_conflict_history,float_it,,,
